Country,Year,Gas production,Oil production,Coal production,Natural resources production
Japan,1973,0.0,0.0,0.0,0.0
Japan,1974,0.0,0.0,0.0,0.0
Japan,1975,0.0,0.0,0.0,0.0
Japan,1976,0.0,0.0,0.0,0.0
Japan,1977,0.0,0.0,0.0,0.0
Japan,1978,0.0,0.0,0.0,0.0
Japan,1979,0.0,0.0,0.0,0.0
Japan,1980,2209000000.0,580700.0,18050000.0,2227630700.0
Japan,1981,2096000000.0,406500.0,17690000.0,2114096500.0
Japan,1982,2039000000.0,522600.0,17610000.0,2057132600.0
Japan,1983,2096000000.0,522600.0,17060000.0,2113582600.0
Japan,1984,2124000000.0,464600.0,16650000.0,2141114600.0
Japan,1985,2237000000.0,638800.0,16380000.0,2254018800.0
Japan,1986,2096000000.0,754900.0,16010000.0,2112764900.0
Japan,1987,2181000000.0,696800.0,13050000.0,2194746800.0
Japan,1988,2096000000.0,696800.0,11230000.0,2107926800.0
Japan,1989,2011000000.0,638800.0,10190000.0,2021828800.0
Japan,1990,2245000000.0,638800.0,7979000.0,2253617800.0
Japan,1991,2351000000.0,871000.0,7930000.0,2359801000.0
Japan,1992,2327000000.0,987200.0,7601000.0,2335588200.0
Japan,1993,2398000000.0,914000.0,7206000.0,2406120000.0
Japan,1994,2385000000.0,633700.0,6742000.0,2392375700.0
Japan,1995,2410000000.0,638800.0,6317000.0,2416955800.0
Japan,1996,2346000000.0,672900.0,6166000.0,2352838900.0
Japan,1997,2442000000.0,570500.0,3970000.0,2446540500.0
Japan,1998,2423000000.0,522600.0,3699000.0,2427221600.0
Japan,1999,2440000000.0,459800.0,3689000.0,2444148800.0
Japan,2000,2636000000.0,406500.0,2964000.0,2639370500.0
Japan,2001,2603000000.0,367800.0,2822000.0,2606189800.0
Japan,2002,2904000000.0,309600.0,1285000.0,2905594600.0
Japan,2003,2969000000.0,290400.0,1355000.0,2970645400.0
Japan,2004,3120000000.0,348400.0,1272000.0,3121620400.0
Japan,2005,3312000000.0,382100.0,1249000.0,3313631100.0
Japan,2006,3595000000.0,348400.0,1351000.0,3596699400.0
Japan,2007,3934000000.0,329000.0,1280000.0,3935609000.0
Japan,2008,3909000000.0,348400.0,1290000.0,3910638400.0
Japan,2009,3751000000.0,309400.0,1206000.0,3752515400.0
Japan,2010,3526000000.0,290000.0,1145000.0,3527435000.0
Japan,2011,3517000000.0,290400.0,1195000.0,3518485400.0
Japan,2012,3351000000.0,290400.0,1247000.0,3352537400.0
Japan,2013,3061000000.0,270900.0,1251000.0,3062521900.0
Japan,2014,2859000000.0,275900.0,1318000.0,2860593900.0
Japan,2015,2827000000.0,246600.0,1265000.0,2828511600.0
Japan,2016,2912000000.0,227500.0,1288000.0,2913515500.0
Japan,2017,3046000000.0,212700.0,1328000.0,3047540700.0
Japan,2018,2340000000.0,195700.0,963700.0,2341159400.0
